condition,class_id,class_name,precision,recall,mAP50,mAP50_95,precision_drop,recall_drop,mAP50_drop,mAP50_95_drop
motion_blur_severe,all,all,0.5417851330626625,0.6787558626970401,0.6167144629111112,0.379581197649434,0.02825169125430349,-0.01837082222953268,0.0014326927874128703,0.0027664359672157635
motion_blur_severe,0,no_caries,0.7193313247433514,0.9419743782969103,0.8773909108323269,0.5334866672537397,0.017419772578318615,-0.011303692539562982,0.008470948924727217,0.009315774275332922
motion_blur_severe,1,mild_caries,0.5000960233724153,0.6688741721854304,0.5587081832903558,0.3566747693500497,0.008041532563888842,0.002207505518763808,0.0070262853601135156,0.008144871399398401
motion_blur_severe,2,moderate_caries,0.2908323571308075,0.367816091954023,0.2746389890782358,0.16885418243826458,0.049011035494074706,-0.04597701149425287,-0.009572810188373915,-0.011370593988404537
motion_blur_severe,3,severe_caries,0.6568808270040758,0.7363588083517966,0.7561197684435267,0.45930917155568196,0.03853442438093169,-0.018410090403078616,-0.0001936529468155035,0.004975692182536295
occlusion_mild,all,all,0.5572520973200065,0.6513986225932352,0.607552722189347,0.37240314597642854,0.012784726996959539,0.008986417874272234,0.010594433509177104,0.009944487640221211
occlusion_mild,0,no_caries,0.7214878443334084,0.9194643002464045,0.8735602156329138,0.5302670308239505,0.015263252988261589,0.011206385510942884,0.012301644124140365,0.012535410705122096
occlusion_mild,1,mild_caries,0.4976089362820839,0.6578366445916115,0.5461984574802031,0.34837560657390254,0.01052861965422025,0.013245033112582738,0.019536011170266154,0.016444034175545574
occlusion_mild,2,moderate_caries,0.3249857110062438,0.3103448275862069,0.26055233138649325,0.15554515589930226,0.01485768161863843,0.011494252873563204,0.00451384750336864,0.0019384325505577837
occlusion_mild,3,severe_caries,0.68492589765829,0.717948717948718,0.7498998842577779,0.4554247906085588,0.010489353726717443,0.0,0.006026231238933311,0.008860073129659474
occlusion_medium,all,all,0.5510393149110859,0.6220097016990347,0.5671702230822295,0.34078816775607274,0.018997509405880075,0.038375338768472766,0.050976932616294546,0.041559465860577016
occlusion_medium,0,no_caries,0.6921624308616484,0.8575734740015072,0.810249208631948,0.4792524342719256,0.044588666460021575,0.07309721175584016,0.07561265112510607,0.06355000725714705
occlusion_medium,1,mild_caries,0.5057420774057977,0.6291390728476821,0.5297848711956421,0.32913579251164743,0.0023954785305064785,0.04194260485651213,0.035949597454827176,0.035683848237800686
occlusion_medium,2,moderate_caries,0.330991212626052,0.3218390804597701,0.23098737854380033,0.1385831510977318,0.0088521799988302,0.0,0.03407880034606156,0.018900437352128235
occlusion_medium,3,severe_caries,0.6752615387508457,0.6794871794871795,0.6976594339575276,0.4161812931429861,0.02015371263416177,0.038461538461538436,0.058266681539183574,0.04810357059523218
occlusion_severe,all,all,0.545552472229919,0.5334738343527743,0.5007829360510111,0.29619848905589097,0.024484352087047023,0.12691120611473317,0.11736421964751298,0.08614914456075878
occlusion_severe,0,no_caries,0.6782608021695457,0.7641293798397044,0.7396149513375241,0.4262871745179961,0.05849029515212434,0.16654130591764293,0.14624690841953003,0.11651526701107656
occlusion_severe,1,mild_caries,0.48799941917428724,0.5298013245033113,0.44676080728240286,0.2785087635714306,0.020138136762016923,0.14128035320088295,0.11897366136806642,0.0863108771780175
occlusion_severe,2,moderate_caries,0.397495714617429,0.27586206896551724,0.24818631655009232,0.14458159377604782,-0.05765232199254677,0.04597701149425287,0.01687986233976957,0.012901994673812228
occlusion_severe,3,severe_caries,0.6184539529584141,0.5641025641025641,0.5685696690340252,0.3354164243580891,0.07696129842659338,0.15384615384615385,0.187356446462686,0.12886843938012915
over_exposure_mild,all,all,0.5448050725890179,0.6887184289576469,0.6182375012157317,0.3815579391840579,0.025231751727948115,-0.028333388490139444,-9.034551720765727e-05,0.0007896944325918587
over_exposure_mild,0,no_caries,0.7179478169810237,0.9397136397889977,0.8843934829349983,0.5400202430879955,0.018803280340646267,-0.009042954031650341,0.0014683768220558058,0.0027821984410771883
over_exposure_mild,1,mild_caries,0.48312416175284884,0.7139222334244372,0.5640109857700978,0.3608613127401338,0.02501339418345533,-0.04284055572024292,0.0017234828803714963,0.003958328009314338
over_exposure_mild,2,moderate_caries,0.31713027781683956,0.3448275862068966,0.2660239163135982,0.16274913298444302,0.022713114808042667,-0.022988505747126464,-0.0009577374237362823,-0.005265544534582972
over_exposure_mild,3,severe_caries,0.6610180338053595,0.7564102564102564,0.7585216198442327,0.46260106792365924,0.034397217579647976,-0.038461538461538436,-0.002595504347521538,0.0016837958145590193
